,final_match_id,final_qual,final_match,num_pdbs,PDB,ALPHAFOLD,ALPHAFOLD_MULTIMER,SWISS,ITASSER
Unmodelled_MONOMER_b1645,Unmodelled_MONOMER_b1645_&_full_match_0,85.49744776119402,{'AF-P76186-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1644,Unmodelled_MONOMER_b1644_&_full_match_2,90.77722807017544,{'AF-P76185-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1648,Unmodelled_MONOMER_b1648_&_full_match_0,84.82873417721521,{'AF-P64474-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
GLYCPDIESTER-PERI-CPLX,GLYCPDIESTER-PERI-CPLX_&_full_match_0,91.6,{'1ydy-assembly1.cif_&_NOBFS_0': 1},1.0,1.0,,,,
Unmodelled_DIMER_b0608,Unmodelled_DIMER_b0608_&_full_match_0,94.2,{'P77316_1_388_1hdz_&_NOBFS_0': 1},1.0,,,,1.0,
PHOSGLUCOSAMINEMUT-DIMER,PHOSGLUCOSAMINEMUT-DIMER_&_full_match_1,99.0,{'P31120_4_444_3pdk_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1481,Unmodelled_MONOMER_b1481_&_full_match_0,82.98521126760564,{'AF-P76127-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4593,Unmodelled_MONOMER_b4593_&_full_match_0,74.80877192982456,{'AF-A5A611-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
YFEP-MONOMER,YFEP-MONOMER_&_full_match_1,94.7,{'P0A769_16_405_6bu5_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-2161,CPLX0-2161_&_subset_match_20,86.7834925988383,"{'b2367_3__AlphaMulti': 1, 'AF-P02930-F1-model_v2_&_NOBFS_0': 3, 'AF-P52599-F1-model_v2_&_NOBFS_0': 6}",10.0,,0.7121978639685216,0.28780213603147836,,
Unmodelled_MONOMER_b3698,Unmodelled_MONOMER_b3698_&_full_match_1,97.7,{'P09996_3_131_1z67_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3555,Unmodelled_MONOMER_b3555_&_full_match_0,73.39864583333333,{'AF-P0A9V5-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0994,Unmodelled_MONOMER_b0994_&_full_match_2,93.0,{'P38683_15_332_4yhs_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX-3942,CPLX-3942_&_full_match_0,97.26065789473684,{'CPLX-3942_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b0990,Unmodelled_MONOMER_b0990_&_full_match_2,100.0,{'P0A978_1_70_2l15_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX-3946,CPLX-3946_&_subset_match_0,87.81534793814434,"{'AF-P04994-F1-model_v2_&_NOBFS_0': 1, 'P0A8G9_6_77_1vp7_&_NOBFS_0': 2}",3.0,,0.5876288659793815,,0.41237113402061853,
Unmodelled_MONOMER_b0992,Unmodelled_MONOMER_b0992_&_full_match_0,85.96014005602241,{'AF-P52636-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
EG11433-MONOMER,EG11433-MONOMER_&_full_match_1,99.5,{'2gt3-assembly1.cif_&_NOBFS_0': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b4020,Unmodelled_MONOMER_b4020_&_full_match_2,89.48963167587479,{'AF-P0AF43-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
URPHOS-CPLX,URPHOS-CPLX_&_full_match_1,99.2,{'P12758_3_253_4ny1_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1460,Unmodelled_MONOMER_b1460_&_full_match_0,85.45410052910053,{'AF-P28917-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
FGAMSYN-MONOMER,FGAMSYN-MONOMER_&_full_match_0,100.0,{'P15254_1_1295_4r7g_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0999,Unmodelled_MONOMER_b0999_&_full_match_2,98.0,{'P63264_2_100_3ucs_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b1827,Unmodelled_DIMER_b1827_&_full_match_1,94.7,{'P76268_11_259_2g7u_&_NOBFS_0': 1},1.0,,,,1.0,
MONOMER0-149,MONOMER0-149_&_full_match_3,99.3,{'P30863_3_267_3up8_&_NOBFS_0': 1},1.0,,,,1.0,
MONOMER0-148,MONOMER0-148_&_full_match_0,99.8,{'DKGA_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
EG12440-MONOMER,EG12440-MONOMER_&_full_match_2,98.2,{'P37773_1_449_3hn7_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1000,Unmodelled_MONOMER_b1000_&_full_match_0,95.1,{'P36659_3_293_6psi_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1003,Unmodelled_MONOMER_b1003_&_full_match_0,93.0104,{'AF-P0AB14-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4023,Unmodelled_MONOMER_b4023_&_full_match_0,77.41933333333334,{'AF-P32685-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
MELB-MONOMER,MELB-MONOMER_&_full_match_1,83.42399999999999,{'MELB_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b3655,Unmodelled_MONOMER_b3655_&_full_match_1,93.62804920913885,{'AF-P31433-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0843,Unmodelled_MONOMER_b0843_&_full_match_0,66.69765957446808,{'AF-P0AAY4-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0840,Unmodelled_MONOMER_b0840_&_full_match_1,90.75150793650793,{'AF-P0ACK5-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
THI-P-KIN-DIMER,THI-P-KIN-DIMER_&_full_match_1,98.2,{'P0AGG0_5_323_5dd7_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0847,Unmodelled_MONOMER_b0847_&_full_match_1,82.74385026737968,{'AF-P60869-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0844,Unmodelled_MONOMER_b0844_&_full_match_1,99.3,{'P75809_2_270_2hf2_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0845,Unmodelled_MONOMER_b0845_&_full_match_1,91.3,{'YBJJ_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b3682,Unmodelled_MONOMER_b3682_&_full_match_2,83.64832298136645,{'AF-P69789-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
RlmL_dim,RlmL_dim_&_subset_match_0,100.0,{'P75864_1_702_3v97_&_NOBFS_0': 2},2.0,,,,1.0,
Unmodelled_PENTAMER_b1342,Unmodelled_PENTAMER_b1342_&_full_match_0,100.0,{'P64423_1_327_5n9y_&_NOBFS_0': 1},1.0,,,,1.0,
URAA-DIMER,URAA-DIMER_&_full_match_0,94.9,{'3qe7-assembly2.cif_&_MATCH_3': 1},1.0,1.0,,,,
Unmodelled_DIMER_b1578,Unmodelled_DIMER_b1578_&_full_match_0,88.1,{'P0CF60_3_194_5hoo_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7669,CPLX0-7669_&_full_match_0,92.67447811447813,{'CPLX0-7669_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-7668,CPLX0-7668_&_full_match_1,100.0,{'P0ACY1_1_183_3bm1_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7667,CPLX0-7667_&_full_match_0,100.0,{'Q46856_1_387_1oj7_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7666,CPLX0-7666_&_subset_match_0,75.95824427480916,{'AF-P0AE58-F1-model_v2_&_NOBFS_0': 2},2.0,,1.0,,,
ABC-26-CPLX,ABC-26-CPLX_&_full_match_0,81.67059847660501,{'ABC-26-CPLX_AlphaMulti': 1},1.0,,,1.0,,
BcsE2R2Q2,BcsE2R2Q2_&_full_match_0,77.38192865779926,{'BcsE2R2Q2_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-7660,CPLX0-7660_&_full_match_0,96.225,{'2i2w-assembly3.cif_&_MATCH_0': 1},1.0,1.0,,,,
Unmodelled_DIMER_b1955,Unmodelled_DIMER_b1955_&_full_match_0,85.94999999999997,{'P76329_1_235_1xvi_&_NOBFS_0': 1},1.0,,,,1.0,
RpmI_mono,RpmI_mono_&_full_match_2,98.5,{'P0A7Q1_2_65_3j7z_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0208,Unmodelled_MONOMER_b0208_&_full_match_0,85.53615131578947,{'AF-P30864-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0209,Unmodelled_MONOMER_b0209_&_full_match_2,89.60342105263159,{'AF-P0A8U2-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
B2-CPLX,B2-CPLX_&_full_match_0,90.55,{'P69924_2_342_1xik_&_NOBFS_0': 1},1.0,,,,1.0,
ALAS-CPLX,ALAS-CPLX_&_full_match_1,87.67393835616438,{'ALAS-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_DIMER_b3039,Unmodelled_DIMER_b3039_&_full_match_1,95.2,{'P24197_14_271_2pw6_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b0905,Unmodelled_DIMER_b0905_&_full_match_1,97.6,{'P75838_11_584_4q84_&_NOBFS_0': 1},1.0,,,,1.0,
G6521-MONOMER,G6521-MONOMER_&_full_match_1,99.2,{'P0AFQ5_1_128_3v4d_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1268,Unmodelled_MONOMER_b1268_&_full_match_0,76.73839936608556,{'AF-P45848-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
EG11910-MONOMER_dimer_EG11911-MONOMER,EG11910-MONOMER_dimer_EG11911-MONOMER_&_full_match_0,91.35301317233808,{'EG11910-MONOMER_dimer_EG11911-MONOMER_AlphaMulti': 1},1.0,,,1.0,,
NHAB-MONOMER,NHAB-MONOMER_&_full_match_1,90.70212475633528,{'AF-P0AFA7-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1265,Unmodelled_MONOMER_b1265_&_full_match_0,31.2,{'LPW_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
DCUA-MONOMER,DCUA-MONOMER_&_full_match_1,92.55378752886836,{'AF-P0ABN5-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1267,Unmodelled_MONOMER_b1267_&_full_match_2,100.0,{'P0AFR4_1_206_1kk9_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1266,Unmodelled_MONOMER_b1266_&_full_match_1,94.5,{'P77766_8_284_2yb1_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b0800,Unmodelled_DIMER_b0800_&_full_match_1,100.0,{'P30177_1_320_4muo_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_DIMER_b0801,Unmodelled_DIMER_b0801_&_full_match_1,99.3,{'P30178_3_361_2g8y_&_NOBFS_0': 1},1.0,,,,1.0,
ASPKINIIHOMOSERDEHYDROGII-CPLX,ASPKINIIHOMOSERDEHYDROGII-CPLX_&_full_match_0,91.20562345679012,{'ASPKINIIHOMOSERDEHYDROGII-CPLX_AlphaMulti': 1},1.0,,,1.0,,
DIHYDROPTERIREDUCT-CPLX,DIHYDROPTERIREDUCT-CPLX_&_full_match_1,100.0,{'P38489_1_217_3x22_&_NOBFS_0': 1},1.0,,,,1.0,
DSBD-MONOMER,DSBD-MONOMER_&_full_match_2,78.05585840707964,{'AF-P36655-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3148,Unmodelled_MONOMER_b3148_&_full_match_1,88.33030534351145,{'AF-P45465-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
LolB_MONOMER,LolB_MONOMER_&_full_match_0,92.6,{'LOLB_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_DIMER_b0796,Unmodelled_DIMER_b0796_&_full_match_0,97.35,{'P0ACU0_1_220_1t33_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0513,Unmodelled_MONOMER_b0513_&_full_match_1,89.45896073903002,{'AF-P77328-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0515,Unmodelled_MONOMER_b0515_&_full_match_0,97.4,{'YLBA_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_DIMER_b1317,Unmodelled_DIMER_b1317_&_full_match_0,96.5,{'4g9b-assembly1.cif_&_MATCH_1': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b4263,Unmodelled_MONOMER_b4263_&_full_match_1,85.8265,{'AF-P39342-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_DIMER_b1314,Unmodelled_DIMER_b1314_&_full_match_1,99.6,{'P76044_1_261_4pfh_&_NOBFS_0': 1},1.0,,,,1.0,
UROGENIIISYN-MONOMER,UROGENIIISYN-MONOMER_&_full_match_3,100.0,{'P09126_1_246_3mw8_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4567,Unmodelled_MONOMER_b4567_&_full_match_1,62.97461538461539,{'AF-P55914-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4566,Unmodelled_MONOMER_b4566_&_full_match_1,89.76458823529411,{'AF-Q2EEU2-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1360,Unmodelled_MONOMER_b1360_&_full_match_0,96.8,{'P77546_1_240_6qem_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4568,Unmodelled_MONOMER_b4568_&_full_match_1,84.73905660377359,{'AF-Q2M5U1-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3645,Unmodelled_MONOMER_b3645_&_full_match_0,88.2453284671533,{'AF-P23840-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3056,Unmodelled_MONOMER_b3056_&_full_match_0,97.8,{'P06961_1_403_3h38_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3647,Unmodelled_MONOMER_b3647_&_full_match_2,94.8,{'P25772_26_556_1v9p_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4526,Unmodelled_MONOMER_b4526_&_full_match_0,87.25714285714285,{'AF-P38394-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4252,Unmodelled_MONOMER_b4252_&_full_match_0,97.57293333333332,{'AF-P0AF96-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
ABC-20-CPLX,ABC-20-CPLX_&_full_match_0,86.97927916921198,{'ABC-20-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b4148,Unmodelled_MONOMER_b4148_&_full_match_2,96.2,{'P69937_3_103_2i68_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4147,Unmodelled_MONOMER_b4147_&_full_match_1,100.0,{'P0A6N4_1_188_6enj_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0195,Unmodelled_MONOMER_b0195_&_full_match_0,94.69770212765957,{'AF-P28634-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0196,Unmodelled_MONOMER_b0196_&_full_match_2,84.42253731343283,{'AF-P69411-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4144,Unmodelled_MONOMER_b4144_&_full_match_1,67.95042735042735,{'AF-P0AF70-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
EG11724-MONOMER,EG11724-MONOMER_&_full_match_1,87.8299325842697,{'AF-P31466-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0191,Unmodelled_MONOMER_b0191_&_full_match_2,94.3,{'P40711_2_133_4v95_&_NOBFS_0': 1},1.0,,,,1.0,
POTE-MONOMER,POTE-MONOMER_&_full_match_0,91.100569476082,{'AF-P0AAF1-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0193,Unmodelled_MONOMER_b0193_&_full_match_0,81.23335766423358,{'AF-P37056-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
B0070-MONOMER,B0070-MONOMER_&_full_match_2,98.0,{'P31675_7_390_3wdo_&_NOBFS_0': 1},1.0,,,,1.0,
ABC-34-CPLX,ABC-34-CPLX_&_full_match_0,88.64268250289688,{'ABC-34-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b1862,Unmodelled_MONOMER_b1862_&_full_match_1,95.2,{'YEBB_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
UROGENDECARBOX-DIMER,UROGENDECARBOX-DIMER_&_full_match_0,99.4,{'P29680_3_354_3cyv_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4342,Unmodelled_MONOMER_b4342_&_full_match_0,83.04992322456816,{'AF-P39391-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1868,Unmodelled_MONOMER_b1868_&_full_match_2,99.3,{'P37348_1_270_1ztv_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4365,Unmodelled_MONOMER_b4365_&_full_match_1,86.7,{'P0ADD7_7_215_5xt2_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4364,Unmodelled_MONOMER_b4364_&_full_match_0,92.45917968749998,{'AF-P0ADD5-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4363,Unmodelled_MONOMER_b4363_&_full_match_1,93.55038216560509,{'AF-P0ADD2-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
USHA-MONOMER,USHA-MONOMER_&_full_match_3,97.6,{'USHA_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b4360,Unmodelled_MONOMER_b4360_&_full_match_0,75.93189024390243,{'AF-P18390-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b2230,Unmodelled_MONOMER_b2230_&_full_match_0,87.29441281138789,{'AF-P17994-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
MANNONOXIDOREDUCT-MONOMER,MANNONOXIDOREDUCT-MONOMER_&_full_match_0,97.5,{'UXUB_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b2915,Unmodelled_MONOMER_b2915_&_full_match_2,82.7975,{'AF-P64562-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
rRNA_containing_excision_machinery,rRNA_containing_excision_machinery_&_subset_match_64,74.20635706251007,"{'P0A7Y8_1_119_2ljp_&_NOBFS_0': 1, 'RNase_III_dim_AlphaMulti': 1, 'CPLX0-1621_AlphaMulti': 1, 'AF-P21513-F1-model_v2_&_NOBFS_0': 4, '3v9z-assembly1.cif_&_NOBFS_0': 1}",8.0,0.06909850554394986,0.6819861802988912,0.22979270448336814,0.019122609673790775,
GLUCONREDUCT-TETRAMER,GLUCONREDUCT-TETRAMER_&_full_match_1,99.2,{'P0A9P9_3_254_5u9p_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3424,Unmodelled_MONOMER_b3424_&_full_match_2,87.97684782608695,{'AF-P09391-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3427,Unmodelled_MONOMER_b3427_&_full_match_1,63.65881720430109,{'AF-P76692-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3421,Unmodelled_MONOMER_b3421_&_full_match_2,98.3,{'P46850_8_408_4dwq_&_NOBFS_0': 1},1.0,,,,1.0,
ABC-32-CPLX,ABC-32-CPLX_&_full_match_0,87.41443104747549,{'ABC-32-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b3423,Unmodelled_MONOMER_b3423_&_full_match_2,92.3825,{'AF-P0ACL0-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3422,Unmodelled_MONOMER_b3422_&_full_match_1,90.43503759398494,{'AF-P38035-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-881,CPLX0-881_&_full_match_1,96.7,{'P0ABH9_1_733_6n8v_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_TETRAMER_b2844,Unmodelled_TETRAMER_b2844_&_full_match_1,99.5,{'Q46939_1_391_4wyr_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_TETRAMER_b2842,Unmodelled_TETRAMER_b2842_&_full_match_0,100.0,{'P37769_1_253_4z9y_&_NOBFS_0': 1},1.0,,,,1.0,
HOMOCYSMET-MONOMER,HOMOCYSMET-MONOMER_&_full_match_1,99.5,{'P25665_3_751_4ztx_&_NOBFS_0': 1},1.0,,,,1.0,
YRBG-MONOMER,YRBG-MONOMER_&_full_match_1,97.8,{'P45394_1_318_5hxc_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1506,Unmodelled_MONOMER_b1506_&_full_match_0,69.8,{'YNEL_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b3323,Unmodelled_MONOMER_b3323_&_full_match_2,84.100327198364,{'AF-P45756-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0426,Unmodelled_MONOMER_b0426_&_full_match_2,99.4,{'P0A8E7_2_163_1in0_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0427,Unmodelled_MONOMER_b0427_&_full_match_0,99.6,{'P77726_3_454_3wdo_&_NOBFS_0': 1},1.0,,,,1.0,
HEMX-MONOMER,HEMX-MONOMER_&_full_match_0,77.67170483460559,{'AF-P09127-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-7766,CPLX0-7766_&_full_match_1,97.78405109489051,{'CPLX0-7766_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b1915,Unmodelled_MONOMER_b1915_&_full_match_1,95.16108108108108,{'AF-P0AD07-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
GTP-CYCLOHYDRO-II-CPLX,GTP-CYCLOHYDRO-II-CPLX_&_full_match_0,88.3,{'P0A7I7_1_173_2bz1_&_NOBFS_0': 1},1.0,,,,1.0,
NICOTINAMID-MONOMER,NICOTINAMID-MONOMER_&_full_match_0,97.53708920187792,{'AF-P21369-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
LSERINEDEAM2-DIMER,LSERINEDEAM2-DIMER_&_full_match_1,99.8,{'P30744_1_454_4rqo_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2598,Unmodelled_MONOMER_b2598_&_full_match_0,30.3,{'LPF_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b4218,Unmodelled_MONOMER_b4218_&_full_match_2,86.31085011185681,{'AF-P0AE45-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
PHOSPHAGLYPSYN-MONOMER,PHOSPHAGLYPSYN-MONOMER_&_full_match_0,88.78071428571428,{'AF-P0ABF8-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX-3945,CPLX-3945_&_subset_match_3,72.56803212851405,"{'AF-P0AEA2-F1-model_v2_&_NOBFS_0': 9, 'b1038_9__AlphaMulti': 1}",10.0,,0.6674698795180722,0.3325301204819277,,
GroL_14,GroL_14_&_full_match_0,95.59999999999998,{'1xck-assembly3.cif_&_NOBFS_0': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b3516,Unmodelled_MONOMER_b3516_&_full_match_3,88.7,{'P37639_3_245_6pb9_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3518,Unmodelled_MONOMER_b3518_&_full_match_2,94.76625806451614,{'AF-P37197-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4211,Unmodelled_MONOMER_b4211_&_full_match_0,99.0,{'P39315_1_283_2zcu_&_NOBFS_0': 1},1.0,,,,1.0,
NusB_mono,NusB_mono_&_full_match_2,100.0,{'1ey1-assembly1.cif_&_NOBFS_0': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b4217,Unmodelled_MONOMER_b4217_&_full_match_0,95.26705882352941,{'AF-P0ADE2-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CYT-D-UBIOX-CPLX,CYT-D-UBIOX-CPLX_&_full_match_1,91.72972253052166,{'CYT-D-UBIOX-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b4215,Unmodelled_MONOMER_b4215_&_full_match_0,55.03294871794871,{'AF-P39317-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
UDP-NACMURALGLDAPAALIG-MONOMER,UDP-NACMURALGLDAPAALIG-MONOMER_&_full_match_2,98.9,{'P11880_1_447_1gg4_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2358,Unmodelled_MONOMER_b2358_&_full_match_0,82.71500000000002,{'AF-P0AD35-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b2359,Unmodelled_MONOMER_b2359_&_full_match_0,84.45566666666667,{'AF-P76512-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
HISTCYCLOPRATPPHOS,HISTCYCLOPRATPPHOS_&_full_match_1,98.25,{'P06989_2_201_6j22_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2354,Unmodelled_MONOMER_b2354_&_full_match_0,94.5587671232877,{'AF-P77656-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b2356,Unmodelled_MONOMER_b2356_&_full_match_2,91.4887912087912,{'AF-P76509-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b2357,Unmodelled_MONOMER_b2357_&_full_match_2,79.9,{'P76510_12_142_4y66_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2350,Unmodelled_MONOMER_b2350_&_full_match_2,96.7,{'P77682_3_118_5mlz_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2352,Unmodelled_MONOMER_b2352_&_full_match_1,93.88083521444695,{'AF-P76507-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
G6886-DIMER,G6886-DIMER_&_full_match_1,89.0,{'P0AGD1_20_173_2wwo_&_NOBFS_0': 1},1.0,,,,1.0,
