,alphafold1_model_score,alphafold1_ipTM,alphafold1_pTM,plddt,pdb_file,score_file,dfparent_index,sequence_length,QCQA_verdict,PDB,SWISS,Comments
1-PFK,0.8620000114440919,0.8600000143051147,0.87,94.16594551282051,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/1-PFK.result/1-PFK_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/1-PFK.result/1-PFK_unrelaxed_rank_1_model_3_scores.json,1-PFK,624.0,Auto,,,
CPLX-169,0.5719999942779541,0.5699999928474426,0.58,81.22138314785374,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-169.result/CPLX-169_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-169.result/CPLX-169_unrelaxed_rank_1_model_3_scores.json,CPLX-169,629.0,Good,,,
CPLX0-7854,0.7740000000000001,0.77,0.79,90.77219047619047,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7854.result/CPLX0-7854_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7854.result/CPLX0-7854_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-7854,630.0,Good,,,
CPLX-159,0.8219999961853027,0.8799999952316284,0.59,89.38530903328052,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-159.result/CPLX-159_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-159.result/CPLX-159_unrelaxed_rank_1_model_3_scores.json,CPLX-159,631.0,Auto,,,
CPLX0-7731,0.8419999790191651,0.8399999737739563,0.85,93.69916139240507,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7731.result/CPLX0-7731_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7731.result/CPLX0-7731_unrelaxed_rank_1_model_3_scores.json,CPLX0-7731,632.0,Auto,,,
CPLX0-7759,0.6279999961853028,0.6299999952316284,0.62,87.01935331230284,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7759.result/CPLX0-7759_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7759.result/CPLX0-7759_unrelaxed_rank_1_model_3_scores.json,CPLX0-7759,634.0,Good,,,
PABASYN-CPLX,0.9479999904632568,0.949999988079071,0.94,95.56023437500001,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PABASYN-CPLX.result/PABASYN-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PABASYN-CPLX.result/PABASYN-CPLX_unrelaxed_rank_1_model_3_scores.json,PABASYN-CPLX,640.0,Auto,mono,mono,heteromer suggested in 1992/1995
CPLX0-782,0.2579999980926514,0.1899999976158142,0.53,79.00630841121496,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-782.result/CPLX0-782_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-782.result/CPLX0-782_unrelaxed_rank_1_model_3_scores.json,CPLX0-782,642.0,Poor,,,
CPLX0-7776,0.8319999942779542,0.8199999928474426,0.88,93.5077414330218,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7776.result/CPLX0-7776_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7776.result/CPLX0-7776_unrelaxed_rank_1_model_3_scores.json,CPLX0-7776,642.0,Auto,,,
CPLX0-7,0.6259999885559082,0.6399999856948853,0.57,83.53332814930015,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7.result/CPLX0-7_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7.result/CPLX0-7_unrelaxed_rank_1_model_3_scores.json,CPLX0-7,643.0,Good,,,
CPLX0-7921,0.519999984741211,0.5199999809265137,0.52,82.89099071207431,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7921.result/CPLX0-7921_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7921.result/CPLX0-7921_unrelaxed_rank_1_model_3_scores.json,CPLX0-7921,646.0,Good,,,
CPLX0-235,0.9519999904632568,0.949999988079071,0.96,97.77194444444444,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-235.result/CPLX0-235_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-235.result/CPLX0-235_unrelaxed_rank_1_model_3_scores.json,CPLX0-235,648.0,Auto,,,No PDB
CPLX0-3956,0.47999999141693117,0.47999998927116394,0.48,73.0317873651772,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3956.result/CPLX0-3956_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3956.result/CPLX0-3956_unrelaxed_rank_1_model_3_scores.json,CPLX0-3956,649.0,Good,,,
b1714_2_,0.33399999999999996,0.3,0.47,75.21087155963303,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1714_2_.result/b1714_2__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1714_2_.result/b1714_2__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b1714_2_,654.0,Good,,,
NRFMULTI-CPLX,0.631999979019165,0.5899999737739563,0.8,87.97963963963963,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/NRFMULTI-CPLX.result/NRFMULTI-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/NRFMULTI-CPLX.result/NRFMULTI-CPLX_unrelaxed_rank_1_model_3_scores.json,NRFMULTI-CPLX,666.0,Poor,,,
3-ISOPROPYLMALISOM-CPLX,0.9340000057220459,0.9300000071525574,0.95,96.19235382308845,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/3-ISOPROPYLMALISOM-CPLX.result/3-ISOPROPYLMALISOM-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/3-ISOPROPYLMALISOM-CPLX.result/3-ISOPROPYLMALISOM-CPLX_unrelaxed_rank_1_model_3_scores.json,3-ISOPROPYLMALISOM-CPLX,667.0,Auto,,,
TRPS-CPLX,0.9100000000000001,0.91,0.91,93.27155688622754,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/TRPS-CPLX.result/TRPS-CPLX_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/TRPS-CPLX.result/TRPS-CPLX_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,TRPS-CPLX,668.0,Auto,,,
PC00061,0.8020000095367432,0.800000011920929,0.81,90.1148502994012,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PC00061.result/PC00061_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/PC00061.result/PC00061_unrelaxed_rank_1_model_3_scores.json,PC00061,668.0,Auto,,,
EIISGC,0.3059999990463257,0.2199999988079071,0.65,83.30483630952382,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/EIISGC.result/EIISGC_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/EIISGC.result/EIISGC_unrelaxed_rank_1_model_3_scores.json,EIISGC,672.0,Poor,,,
CPLX0-303,0.9120000209808351,0.9100000262260437,0.92,93.80482142857143,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-303.result/CPLX0-303_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-303.result/CPLX0-303_unrelaxed_rank_1_model_3_scores.json,CPLX0-303,672.0,Auto,,,
CPLX-155,0.4899999990463257,0.4699999988079071,0.57,82.20048961424332,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-155.result/CPLX-155_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-155.result/CPLX-155_unrelaxed_rank_1_model_3_scores.json,CPLX-155,674.0,Poor,,,
ANSA-CPLX,0.9340000057220459,0.9300000071525574,0.95,94.80923076923077,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ANSA-CPLX.result/ANSA-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ANSA-CPLX.result/ANSA-CPLX_unrelaxed_rank_1_model_3_scores.json,ANSA-CPLX,676.0,Auto,,,
GLYC3PDEHYDROGBIOSYN-CPLX,0.930000005722046,0.9300000071525574,0.93,94.26342182890856,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/GLYC3PDEHYDROGBIOSYN-CPLX.result/GLYC3PDEHYDROGBIOSYN-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/GLYC3PDEHYDROGBIOSYN-CPLX.result/GLYC3PDEHYDROGBIOSYN-CPLX_unrelaxed_rank_1_model_3_scores.json,GLYC3PDEHYDROGBIOSYN-CPLX,678.0,Auto,,,
cisGroES_hepta,0.8219999942779542,0.8199999928474426,0.83,81.38452135493372,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/cisGroES_hepta.result/cisGroES_hepta_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/cisGroES_hepta.result/cisGroES_hepta_unrelaxed_rank_1_model_3_scores.json,cisGroES_hepta,679.0,Auto,,,
transGroES_hepta,0.8219999942779542,0.8199999928474426,0.83,81.38452135493372,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/transGroES_hepta.result/transGroES_hepta_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/transGroES_hepta.result/transGroES_hepta_unrelaxed_rank_1_model_3_scores.json,transGroES_hepta,679.0,Auto,,,
CPLX0-7627,0.5159999923706055,0.5099999904632568,0.54,60.58391176470589,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7627.result/CPLX0-7627_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7627.result/CPLX0-7627_unrelaxed_rank_1_model_3_scores.json,CPLX0-7627,680.0,Good,,,
SECE-G-Y-CPLX,0.7360000152587891,0.7300000190734863,0.76,68.80227941176472,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SECE-G-Y-CPLX.result/SECE-G-Y-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SECE-G-Y-CPLX.result/SECE-G-Y-CPLX_unrelaxed_rank_1_model_3_scores.json,SECE-G-Y-CPLX,680.0,Good,,,
b3300_1__b3981_1__b3175_1_,0.678,0.67,0.71,67.28582352941177,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b3300_1__b3981_1__b3175_1_.result/b3300_1__b3981_1__b3175_1__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b3300_1__b3981_1__b3175_1_.result/b3300_1__b3981_1__b3175_1__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b3300_1__b3981_1__b3175_1_,680.0,Good,,,
CPLX0-7740,0.773999984741211,0.7699999809265137,0.79,85.78152492668622,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7740.result/CPLX0-7740_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7740.result/CPLX0-7740_unrelaxed_rank_1_model_3_scores.json,CPLX0-7740,682.0,Good,,,
CPLX-3942,0.96,0.96,0.96,97.26065789473685,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-3942.result/CPLX-3942_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-3942.result/CPLX-3942_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX-3942,684.0,Auto,,,
CPLX-170,0.779999984741211,0.7699999809265137,0.82,89.29787790697675,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-170.result/CPLX-170_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX-170.result/CPLX-170_unrelaxed_rank_1_model_3_scores.json,CPLX-170,688.0,Good,,,
CPLX0-7927,0.9399999980926514,0.9399999976158142,0.94,96.22695652173914,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7927.result/CPLX0-7927_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7927.result/CPLX0-7927_unrelaxed_rank_1_model_3_scores.json,CPLX0-7927,690.0,Auto,,,
CPLX0-7719,0.2700000023841858,0.20000000298023224,0.55,85.98628242074928,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7719.result/CPLX0-7719_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7719.result/CPLX0-7719_unrelaxed_rank_1_model_4_scores.json,CPLX0-7719,694.0,Poor,,,
CPLX0-7791,0.1999999980926514,0.1899999976158142,0.24,71.97543103448275,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7791.result/CPLX0-7791_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7791.result/CPLX0-7791_unrelaxed_rank_1_model_3_scores.json,CPLX0-7791,696.0,Poor,,,
AROH-CPLX,0.9419999980926514,0.9399999976158142,0.95,96.83058908045976,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/AROH-CPLX.result/AROH-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/AROH-CPLX.result/AROH-CPLX_unrelaxed_rank_1_model_3_scores.json,AROH-CPLX,696.0,Auto,,,
GLNL-CPLX,0.5839999866485596,0.5799999833106995,0.6,82.55926934097421,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/GLNL-CPLX.result/GLNL-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/GLNL-CPLX.result/GLNL-CPLX_unrelaxed_rank_1_model_3_scores.json,GLNL-CPLX,698.0,Good,,,
CPLX0-3925,0.7839999771118165,0.7799999713897705,0.8,81.0641,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3925.result/CPLX0-3925_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3925.result/CPLX0-3925_unrelaxed_rank_1_model_3_scores.json,CPLX0-3925,700.0,Good,,,
CPLX0-241,0.3659999933242798,0.28999999165534973,0.67,92.11943181818182,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-241.result/CPLX0-241_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-241.result/CPLX0-241_unrelaxed_rank_1_model_3_scores.json,CPLX0-241,704.0,Poor,,,
IMIDHISTID-CPLX,0.771999984741211,0.7699999809265137,0.78,92.32114084507043,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/IMIDHISTID-CPLX.result/IMIDHISTID-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/IMIDHISTID-CPLX.result/IMIDHISTID-CPLX_unrelaxed_rank_1_model_3_scores.json,IMIDHISTID-CPLX,710.0,Good,,,
SAICARSYN-CPLX,0.45399998950958254,0.41999998688697815,0.59,91.00104078762307,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SAICARSYN-CPLX.result/SAICARSYN-CPLX_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SAICARSYN-CPLX.result/SAICARSYN-CPLX_unrelaxed_rank_1_model_4_scores.json,SAICARSYN-CPLX,711.0,Poor,,,
CPLX0-7465,0.9499999904632568,0.949999988079071,0.95,97.4927106741573,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7465.result/CPLX0-7465_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7465.result/CPLX0-7465_unrelaxed_rank_1_model_3_scores.json,CPLX0-7465,712.0,Auto,,yes,
G7090-MONOMER_EG11982-MONOMER,0.21799999713897705,0.1599999964237213,0.45,69.16858543417368,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/G7090-MONOMER_EG11982-MONOMER.result/G7090-MONOMER_EG11982-MONOMER_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/G7090-MONOMER_EG11982-MONOMER.result/G7090-MONOMER_EG11982-MONOMER_unrelaxed_rank_1_model_3_scores.json,G7090-MONOMER_EG11982-MONOMER,714.0,DNE,,,
DMBPPRIBOSYLTRANS-CPLX,0.930000005722046,0.9300000071525574,0.93,94.47515320334263,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/DMBPPRIBOSYLTRANS-CPLX.result/DMBPPRIBOSYLTRANS-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/DMBPPRIBOSYLTRANS-CPLX.result/DMBPPRIBOSYLTRANS-CPLX_unrelaxed_rank_1_model_3_scores.json,DMBPPRIBOSYLTRANS-CPLX,718.0,Auto,,,
CPLX0-8182,0.8279999942779542,0.8199999928474426,0.86,90.43106796116506,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-8182.result/CPLX0-8182_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-8182.result/CPLX0-8182_unrelaxed_rank_1_model_3_scores.json,CPLX0-8182,721.0,Auto,,,
CPLX0-7811,0.1599999978542328,0.11999999731779099,0.32,84.92937845303867,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7811.result/CPLX0-7811_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7811.result/CPLX0-7811_unrelaxed_rank_1_model_4_scores.json,CPLX0-7811,724.0,Poor,,,
ADHC-CPLX,0.9419999980926514,0.9399999976158142,0.95,97.56482384823848,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ADHC-CPLX.result/ADHC-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ADHC-CPLX.result/ADHC-CPLX_unrelaxed_rank_1_model_3_scores.json,ADHC-CPLX,738.0,Auto,,,
SPERMACTRAN-CPLX,0.7960000000000002,0.79,0.82,86.65643817204301,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SPERMACTRAN-CPLX.result/SPERMACTRAN-CPLX_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SPERMACTRAN-CPLX.result/SPERMACTRAN-CPLX_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,SPERMACTRAN-CPLX,744.0,Good,,,
CHORISMUTPREPHENDEHYDROG-CPLX,0.930000005722046,0.9300000071525574,0.93,96.10697050938339,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CHORISMUTPREPHENDEHYDROG-CPLX.result/CHORISMUTPREPHENDEHYDROG-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CHORISMUTPREPHENDEHYDROG-CPLX.result/CHORISMUTPREPHENDEHYDROG-CPLX_unrelaxed_rank_1_model_3_scores.json,CHORISMUTPREPHENDEHYDROG-CPLX,746.0,Auto,,,
DnaJ_dim,0.6120000114440918,0.6100000143051147,0.62,82.11795212765956,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/DnaJ_dim.result/DnaJ_dim_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/DnaJ_dim.result/DnaJ_dim_unrelaxed_rank_1_model_3_scores.json,DnaJ_dim,752.0,Good,,,
CPLX0-1321,0.6819999904632569,0.699999988079071,0.61,76.83908366533865,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1321.result/CPLX0-1321_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-1321.result/CPLX0-1321_unrelaxed_rank_1_model_3_scores.json,CPLX0-1321,753.0,Good,,,
