Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
dinQ	b4613	3647705	3647788	membrane toxin DinQ	dinQ // b4613 // ECK4422		inner membrane
djlA	b0055	57364	58179	co-chaperone protein DjlA	djlA // yabH // b0055 // ECK0056		inner membrane
djlB	b0646	677415	678842	J domain-containing protein DjlB	djlB // ybeS // b0646 // ECK0639		inner membrane // cytosol
djlC	b0649	680212	681663	co-chaperone DjlC	djlC // hscD // ybeV // hsc56 // b0649 // ECK0642		inner membrane // cytosol
dkgA	b3012	3156623	3157450	methylglyoxal reductase DkgA	dkgA // yqhE // b3012 // ECK3004		cytosol
dkgB	b0207	229167	229970	methylglyoxal reductase DkgB	dkgB // yafB // b0207 // ECK0207		cytosol
dksA	b0145	160149	160604	RNA polymerase-binding transcription factor DksA	dksA // msmA // b0145 // ECK0144	DksA-ppGpp	cytosol
dld	b2133	2222185	2223900	quinone-dependent D-lactate dehydrogenase	dld // ldh // b2133 // ECK2126		inner membrane
dmlA	b1800	1881912	1882997	D-malate/3-isopropylmalate dehydrogenase (decarboxylating)	dmlA // ttuC // yeaU // b1800 // ECK1798		cytosol
dmlR	b1799	1880886	1881809	DNA-binding transcriptional regulator DmlR	dmlR // yeaT // b1799 // ECK1797		cytosol
dmsA	b0894	940959	943403	dimethyl sulfoxide reductase subunit A	dmsA // b0894 // ECK0885	dimethyl sulfoxide reductase subunit A // dimethyl sulfoxide reductase subunit B // dimethyl sulfoxide reductase subunit C	periplasmic space // inner membrane
dmsB	b0895	943414	944031	dimethyl sulfoxide reductase subunit B	dmsB // b0895 // ECK0886	dimethyl sulfoxide reductase subunit A // dimethyl sulfoxide reductase subunit B // dimethyl sulfoxide reductase subunit C	inner membrane
dmsC	b0896	944033	944896	dimethyl sulfoxide reductase subunit C	dmsC // b0896 // ECK0887	dimethyl sulfoxide reductase subunit A // dimethyl sulfoxide reductase subunit B // dimethyl sulfoxide reductase subunit C	inner membrane
dmsD	b1591	1664506	1665120	redox enzyme maturation protein DmsD	dmsD // ynfI // b1591 // ECK1586		inner membrane // cytosol
dnaA	b3702	3882326	3883729	chromosomal replication initiator protein DnaA	dnaA // b3702 // ECK3694	DnaA-ATP DNA-binding transcriptional dual regulator	inner membrane // cytosol
dnaB	b4052	4264314	4265729	replicative DNA helicase	dnaB // groP // grpA // grpD // b4052 // ECK4044	replicative DNA helicase	cytosol
dnaC	b4361	4600238	4600975	DNA replication protein DnaC	dnaC // dnaD // b4361 // ECK4351		cytosol
dnaE	b0184	205126	208608	DNA polymerase III subunit &alpha;	dnaE // sdgC // polC // b0184 // ECK0183	DNA polymerase III, core enzyme	cytosol
dnaG	b3066	3211107	3212852	DNA primase	dnaG // dnaP // parB // sdgA // b3066 // ECK3056	primosome	cytosol
dnaJ	b0015	14168	15298	chaperone protein DnaJ	dnaJ // groP // grpC // b0015 // ECK0015	chaperone protein DnaJ	cytosol // membrane
dnaK	b0014	12163	14079	chaperone protein DnaK	dnaK // groPF // groPC // seg // grpF // grpC // groPAB // b0014 // ECK0014		inner membrane // cytosol
dnaN	b3701	3881221	3882321	&beta; sliding clamp	dnaN // b3701 // ECK3693	&beta; sliding clamp	cytosol
dnaQ	b0215	236067	236798	DNA polymerase III subunit &epsilon;	dnaQ // mutD // b0215 // ECK0215	DNA polymerase III, core enzyme	cytosol
dnaT	b4362	4600978	4601517	primosomal protein DnaT	dnaT // b4362 // ECK4352	primosomal protein DnaT	
dnaX	b0470	492092	494023	DNA polymerase III subunit &gamma; // DNA polymerase III subunit &tau;	dnaX // dnaZ // b0470 // ECK0464	DNA polymerase III, preinitiation complex // DNA polymerase III, &tau; subunit dimer	cytosol
dolP	b3150	3296409	3296984	division and outer membrane stress-associated lipid-binding lipoprotein	dolP // ecfH // yraP // b3150 // ECK3138		periplasmic space // outer membrane
dosC	b1490	1565758	1567140	diguanylate cyclase DosC	dosC // yddV // dgcO // b1490 // ECK1484	diguanylate cyclase DosC // DosC-DosP complex	inner membrane // cytosol
dosP	b1489	1563334	1565733	oxygen-sensing c-di-GMP phosphodiesterase DosP	dosP // yddU // dos // pdeO // b1489 // ECK1483	oxygen-sensing c-di-GMP phosphodiesterase DosP // DosC-DosP complex	inner membrane
dpaA	b0224	245065	245805	peptidoglycan <i>meso</i>-diaminopimelic acid protein amidase A	dpaA // yafK // ldtF // b0224 // ECK0225		
dpiA	b0620	653862	654542	DNA-binding transcriptional dual regulator DpiA-phosphorylated // DNA-binding transcriptional dual regulator DpiA	dpiA // citB // criR // mpdA // b0620 // ECK0613		cytosol
dpiB	b0619	652235	653893	DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB	dpiB // ybeP // mpdB // citA // b0619 // ECK0612		periplasmic space // cytosol // inner membrane
dppA	b3544	3706098	3707705	dipeptide ABC transporter periplasmic binding protein	dppA // alu // dpp // fpp // b3544 // ECK3531	dipeptide ABC transporter	inner membrane // periplasmic space
dppB	b3543	3704771	3705790	dipeptide ABC transporter membrane subunit DppB	dppB // b3543 // ECK3530	dipeptide ABC transporter	inner membrane
dppC	b3542	3703859	3704761	dipeptide ABC transporter membrane subunit DppC	dppC // b3542 // ECK3529	dipeptide ABC transporter	inner membrane
dppD	b3541	3702865	3703848	dipeptide ABC transporter ATP binding subunit DppD	dppD // b3541 // ECK3528	dipeptide ABC transporter	inner membrane
dppF	b3540	3701864	3702868	dipeptide ABC transporter ATP binding subunit DppF	dppF // dppE // b3540 // ECK3527	dipeptide ABC transporter	inner membrane
dps	b0812	848408	848911	DNA protection during starvation protein	dps // pexB // vtm // b0812 // ECK0801	stationary phase nucleoid component that sequesters iron and protects DNA from damage	cytosol // bacterial nucleoid // membrane
drpB	b1963	2033119	2033421	cell division protein DrpB	drpB // yedR // b1963 // ECK1961		inner membrane
dsbA	b3860	4043418	4044044	thiol:disulfide oxidoreductase - DsbA<sub>oxidized</sub> // thiol:disulfide oxidoreductase DsbA	dsbA // dsf // iarA // ppfA // b3860 // ECK3852		periplasmic space
dsbB	b1185	1232500	1233030	protein thiol:quinone oxidoreductase DsbB<sub>oxidized</sub> // protein thiol:quinone oxidoreductase DsbB	dsbB // ycgA // roxB // dsbX // iarB // rosB // b1185 // ECK1173		inner membrane
dsbC	b2893	3038112	3038822	protein disulfide isomerase DsbC	dsbC // xprA // b2893 // ECK2888	protein disulfide isomerase DsbC	periplasmic space
dsbD	b4136	4363345	4365042	thiol-disulfide exchange protein DsbD	dsbD // htrI // cutA2 // cycZ // dipZ // b4136 // ECK4130		inner membrane
dsbG	b0604	637827	638573	protein sulfenic acid reductase and chaperone DsbG	dsbG // ybdP // b0604 // ECK0598	protein sulfenic acid reductase and chaperone DsbG	periplasmic space
dsdA	b2366	2479202	2480530	D-serine ammonia-lyase	dsdA // b2366 // ECK2362		cytosol
dsdC	b2364	2476694	2477629	DNA-binding transcriptional dual regulator DsdC	dsdC // b2364 // ECK2360	DNA-binding transcriptional dual regulator DsdC	cytosol
dsdX	b2365	2477847	2479184	D-serine transporter	dsdX // yfdD // yfdA // dsdC // b2365 // ECK2361		inner membrane
dsrA	b1954	2025223	2025313	small regulatory RNA DsrA	dsrA // b1954 // ECK1952		
dsrB	b1952	2024635	2024823	protein DsrB	dsrB // b1952 // ECK1950		cytosol
dtd	b3887	4077015	4077452	D-aminoacyl-tRNA deacylase	dtd // yihZ // b3887 // ECK3880	D-aminoacyl-tRNA deacylase	cytosol
dtpA	b1634	1712769	1714271	dipeptide/tripeptide:H<sup>+</sup> symporter DtpA	dtpA // ydgR // tppB // b1634 // ECK1630		inner membrane
dtpB	b3496	3640862	3642331	dipeptide/tripeptide:H<sup>+</sup> symporter DtpB	dtpB // yhiP // b3496 // ECK3481		inner membrane
dtpC	b4130	4354954	4356411	dipeptide/tripeptide:H<sup>+</sup> symporter DtpC	dtpC // yjdL // b4130 // ECK4124		inner membrane
dtpD	b0709	741075	742556	dipeptide:H<sup>+</sup> symporter DtpD	dtpD // ybgH // b0709 // ECK0698		inner membrane
dusA	b4049	4261669	4262706	tRNA-dihydrouridine synthase A	dusA // yjbN // b4049 // ECK4041		cytosol
dusB	b3260	3410280	3411245	tRNA-dihydrouridine synthase B	dusB // yhdG // b3260 // ECK3247		cytosol
dusC	b2140	2229438	2230385	tRNA-dihydrouridine<sup>16</sup> synthase	dusC // yohI // b2140 // ECK2133		cytosol
dut	b3640	3813929	3814387	dUTP diphosphatase	dut // dnaS // sof // b3640 // ECK3630	dUTP diphosphatase	cytosol
dxr	b0173	193521	194717	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr // yaeM // ispC // b0173 // ECK0172	1-deoxy-D-xylulose 5-phosphate reductoisomerase	inner membrane // cytosol
dxs	b0420	438315	440177	1-deoxy-D-xylulose-5-phosphate synthase	dxs // yajP // b0420 // ECK0414	1-deoxy-D-xylulose-5-phosphate synthase	cytosol
eaeH	b0297	314357	315244	putative porin domain-containing protein EaeH	eaeH // b0297 // ECK0297		cytosol
eamA	b1533	1620238	1621137	cysteine/<i>O</i>-acetylserine exporter EamA	eamA // ydeD // b1533 // ECK1526		inner membrane
eamB	b2578	2715423	2716010	cysteine/<i>O</i>-acetylserine exporter EamB	eamB // yfiK // b2578 // ECK2576		inner membrane
ebgA	b3076	3222633	3225725	evolved &beta;-D-galactosidase subunit &alpha;	ebgA // b3076 // ECK3066	evolved &beta;-D-galactosidase	
ebgC	b3077	3225722	3226171	DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;	ebgC // b3077 // ECK3067	evolved &beta;-D-galactosidase	cytosol
ebgR	b3075	3221466	3222449	DNA-binding transcriptional repressor EbgR	ebgR // b3075 // ECK3065		cytosol
ecnA	b4410	4376317	4376442	entericidin A lipoprotein, antidote to entericidin B	ecnA // b4410 // ECK4142		inner membrane // outer membrane
ecnB	b4411	4376553	4376699	bacteriolytic entericidin B lipoprotein	ecnB // yjeU // b4411 // ECK4143		inner membrane // outer membrane
eco	b2209	2303905	2304393	serine protease inhibitor ecotin	eco // eti // b2209 // ECK2201	serine protease inhibitor ecotin	periplasmic space
ecpA	b0293	310084	310671	common pilus major subunit	ecpA // yagZ // matB // b0293 // ECK0292		pilus
ecpB	b0292	309358	310026	putative fimbrial chaperone EcpB	ecpB // yagY // matC // b0292 // ECK0291		
ecpC	b0291	306807	309332	putative fimbrial usher protein EcpC	ecpC // yagX // matD // b0291 // ECK0290		outer membrane
ecpD	b0290	305174	306817	fimbrial adhesin EcpD	ecpD // yagW // matE // b0290 // ECK0289		pilus
ecpE	b0289	304495	305205	putative fimbrial chaperone EcpE	ecpE // yagV // matF // b0289 // ECK0288		periplasmic space
eda	b1850	1932115	1932756	KHG/KDPG aldolase	eda // hga // kdgA // kga // b1850 // ECK1851	KHG/KDPG aldolase	cytosol // membrane
edd	b1851	1932793	1934604	phosphogluconate dehydratase	edd // b1851 // ECK1852		cytosol
efeB	b1019	1083376	1084647	heme-containing peroxidase/deferrochelatase	efeB // ycdB // b1019 // ECK1009	heme-containing peroxidase/deferrochelatase	periplasmic space // cytosol
efeO	b1018	1082243	1083370	ferrous iron transport system protein EfeO	efeO // ycdO // b1018 // ECK1008		periplasmic space
efeU	b4490	1081356	1082185	inactive ferrous iron permease EfeU	efeU // ycdN // b1016 // b1017 // b4490 // ECK1007		inner membrane
efp	b4147	4375699	4376265	protein chain elongation factor EF-P, &beta;-lysyl-Lys34 // protein chain elongation factor EF-P	efp // b4147 // ECK4141		cytosol
elaA	b2267	2381082	2381543	putative acetyltransferase ElaA	elaA // yfbC // b2267 // ECK2261		cytosol
elaB	b2266	2380722	2381027	tail-anchored inner membrane protein ElaB	elaB // yfbD // b2266 // ECK2260		inner membrane // cytosol
elaD	b2269	2382713	2383924	protease ElaD	elaD // b2269 // ECK2263		cytosol
elbB	b3209	3349806	3350459	low activity glyoxalase ElbB	elbB // yzzB // elb2 // s27a // yhbL // b3209 // ECK3198		cytosol
elfA	b0938	997868	998407	putative laminin-binding fimbrial subunit	elfA // ycbQ // b0938 // ECK0929		extracellular space // pilus
elfC	b0940	999216	1001816	putative fimbrial usher protein ElfC	elfC // ycbS // b0940 // ECK0931		outer membrane
elfD	b0939	998490	999191	putative fimbrial chaperone ElfD	elfD // ycbR // b0939 // ECK0930		periplasmic space
elfG	b0941	1001807	1002877	putative fimbrial-like adhesin protein	elfG // ycbT // b0941 // ECK0932		extracellular space // pilus
elyC	b0920	972622	973401	envelope biogenesis factor	elyC // ycbC // b0920 // ECK0911		inner membrane
emrA	b2685	2811427	2812599	multidrug efflux pump membrane fusion protein EmrA	emrA // b2685 // ECK2679	multidrug efflux pump EmrAB-TolC	inner membrane // periplasmic space
emrB	b2686	2812616	2814154	multidrug efflux pump membrane subunit EmrB	emrB // b2686 // ECK2680	multidrug efflux pump EmrAB-TolC	inner membrane
emrD	b3673	3853922	3855106	multidrug efflux pump EmrD	emrD // yicQ // b3673 // ECK3664		inner membrane
emrE	b0543	568315	568647	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	emrE // eb // mvrC // b0543 // ECK0534	multidrug efflux pump EmrE / betaine:H<sup>+</sup> antiporter / choline:H<sup>+</sup> antiporter	inner membrane
emrK	b2368	2482176	2483339	tripartite efflux pump membrane fusion protein EmrK	emrK // b2368 // ECK2364	tripartite efflux pump EmrKY-TolC	inner membrane
emrY	b2367	2480638	2482176	tripartite efflux pump membrane subunit EmrY	emrY // b2367 // ECK2363	tripartite efflux pump EmrKY-TolC	inner membrane
emtA	b1193	1243180	1243791	lytic murein transglycosylase E	emtA // ycgP // mltE // sltZ // b1193 // ECK1181		inner membrane // outer membrane
endA	b2945	3090347	3091054	DNA-specific endonuclease I	endA // b2945 // ECK2940		periplasmic space
eno	b2779	2906643	2907941	enolase	eno // b2779 // ECK2773	enolase	cytosol // extracellular space // cytoskeleton // membrane
entA	b0596	628551	629297	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	entA // b0596 // ECK0589	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	cytosol
entB	b0595	627694	628551	<i>holo</i> EntB // enterobactin synthase component B	entB // entG // b0595 // ECK0588	<i>holo</i>-EntB dimer	cytosol // inner membrane
entC	b0593	624885	626060	isochorismate synthase EntC	entC // fepF // b0593 // ECK0586		cytosol
entD	b0583	609459	610079	phosphopantetheinyl transferase EntD	entD // b0583 // ECK0575	holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	inner membrane // cytosol
entE	b0594	626070	627680	2,3-dihydroxybenzoate-AMP ligase	entE // b0594 // ECK0587	2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	cytosol // membrane
entF	b0586	614157	618038	seryl-[EntF peptidyl-carrier protein] // <i>holo</i> [EntF peptidyl-carrier protein] // apo-serine activating enzyme	entF // b0586 // ECK0579	holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	cytosol // inner membrane
entH	b0597	629300	629713	proofreading thioesterase in enterobactin biosynthesis	entH // ybdB // b0597 // ECK0590	proofreading thioesterase in enterobactin biosynthesis	cytosol
entS	b0591	622300	623550	enterobactin exporter EntS	entS // ybdA // b0591 // ECK0584		inner membrane
envC	b3613	3786838	3788097	murein hydrolase activator EnvC	envC // yibP // slm11 // b3613 // ECK3603		inner membrane // periplasmic space
envR	b3264	3412803	3413465	DNA-binding transcriptional repressor EnvR	envR // acrS // yhdK // b3264 // ECK3251		cytosol
envY	b0566	586147	586908	DNA-binding transcriptional activator EnvY	envY // b0566 // ECK0558		cytosol // outer membrane
envZ	b3404	3534516	3535868	sensor histidine kinase EnvZ	envZ // tpo // perA // ompB // b3404 // ECK3391	sensor histidine kinase EnvZ	periplasmic space // cytosol // inner membrane
epd	b2927	3072672	3073691	D-erythrose-4-phosphate dehydrogenase	epd // gapB // gap2 // b2927 // ECK2923	D-erythrose-4-phosphate dehydrogenase	cytosol
epmA	b4155	4382643	4383620	EF-P-lysine lysyltransferase	epmA // genX // poxA // yjeA // b4155 // ECK4151	EF-P-lysine lysyltransferase	cytosol
epmB	b4146	4374629	4375657	lysine 2,3-aminomutase	epmB // yjeK // b4146 // ECK4140		cytosol
epmC	b2326	2444203	2444751	EF-P-Lys34 hydroxylase	epmC // yfcM // b2326 // ECK2320		cytosol
eptA	b4114	4333947	4335590	phosphoethanolamine transferase EptA	eptA // yjdB // b4114 // ECK4107		inner membrane
eptB	b3546	3708784	3710475	phosphoethanolamine transferase EptB	eptB // yhjW // b3546 // ECK3533		inner membrane
eptC	b3955	4148532	4150265	phosphoethanolamine transferase EptC	eptC // yijP // b3955 // ECK3946		inner membrane
era	b2566	2702481	2703386	30S ribosomal subunit maturation GTPase Era	era // rbaA // sdgE // b2566 // ECK2564		cytosol // inner membrane
erpA	b0156	176610	176954	iron-sulfur cluster insertion protein ErpA	erpA // yadR // b0156 // ECK0155	iron-sulfur cluster insertion protein ErpA	cytosol
esrE	b4707	4019978	4020229	small RNA EsrE	esrE // b4707 // ECK4519		
essD	b0554	577398	577613	DLP12 prophage; putative phage lysis protein	essD // vlyS // ybcR // b0554 // ECK0545		inner membrane
essQ	b1556	1640370	1640585	Qin prophage; putative prophage lysis protein EssQ	essQ // ydfS // b1556 // ECK1550		inner membrane
etk	b0981	1042030	1044210	protein-tyrosine kinase Etk	etk // yccC // b0981 // ECK0972		inner membrane
etp	b0982	1044230	1044676	phosphotyrosine-protein phosphatase Etp	etp // yccY // b0982 // ECK0973		cytosol
ettA	b4391	4628855	4630522	energy-dependent translational throttle protein EttA	ettA // yjjK // b4391 // ECK4383		cytosol // inner membrane
eutA	b2451	2565481	2566884	ethanolamine ammonia-lyase reactivase EutA	eutA // yffT // b2451 // ECK2446		inner membrane
eutB	b2441	2557318	2558679	ethanolamine ammonia-lyase subunit &alpha;	eutB // b2441 // ECK2436	ethanolamine ammonia-lyase subunit alpha // ethanolamine ammonia-lyase subunit beta	cytosol
eutC	b2440	2556410	2557297	ethanolamine ammonia-lyase subunit &beta;	eutC // b2440 // ECK2435	ethanolamine ammonia-lyase subunit alpha // ethanolamine ammonia-lyase subunit beta	cytosol
eutD	b2458	2572489	2573505	phosphate acetyltransferase EutD	eutD // ypfA // eutI // b2458 // ECK2453	phosphate acetyltransferase EutD	cytosol
eutE	b2455	2570348	2571751	acetaldehyde dehydrogenase (acetylating) EutE	eutE // yffX // b2455 // ECK2450		cytosol
eutG	b2453	2568324	2569511	putative alcohol dehydrogenase EutG	eutG // yffV // b2453 // ECK2448		inner membrane // cytosol
eutH	b2452	2566881	2568107	putative ethanolamine permease EutH	eutH // yffU // b2452 // ECK2447		inner membrane
eutJ	b2454	2569501	2570337	putative ethanolamine utilization chaperonin EutJ	eutJ // yffW // b2454 // ECK2449		cytosol
eutK	b2438	2555228	2555728	putative structural protein, ethanolamine utilization microcompartment	eutK // yffI // b2438 // ECK2433		cytosol
eutL	b2439	2555741	2556400	putative structural protein, ethanolamine utilization microcompartment	eutL // yffJ // b2439 // ECK2434	predicted structural protein, ethanolamine utilization microcompartment	
eutM	b2457	2572157	2572450	putative ethanolamine catabolic microcompartment shell protein EutM	eutM // yffZ // cchA // b2457 // ECK2452	putative ethanolamine catabolic microcompartment shell protein EutM	cytosol
eutN	b2456	2571763	2572050	putative ethanolamine catabolic microcompartment shell protein EutN	eutN // yffY // cchB // b2456 // ECK2451	putative ethanolamine catabolic microcompartment shell protein EutN	cytosol
eutP	b2461	2574978	2575457	putative ethanolamine utilization acetate kinase EutP	eutP // ypfD // b2461 // ECK2456		cytosol
eutQ	b2460	2574302	2575003	putative ethanolamine utilization acetate kinase EutQ	eutQ // ypfC // b2460 // ECK2455		cytosol
eutR	b2437	2554130	2555182	putative DNA-binding transcriptional regulator EutR	eutR // yfeG // b2437 // ECK2432		cytosol
eutS	b2462	2575470	2575805	putative ethanolamine catabolic microcompartment shell protein EutS	eutS // ypfE // b2462 // ECK2457	putative ethanolamine catabolic microcompartment shell protein EutS	cytosol
eutT	b2459	2573502	2574305	putative ethanolamine utilization cobalamin adenosyltransferase	eutT // ypfB // b2459 // ECK2454		cytosol
evgA	b2369	2483755	2484369	DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA	evgA // b2369 // ECK2365		cytosol // cytosol
evgL	b4781	2483729	2483758	protein EvgL	evgL // b4781 // ECK4638		
evgS	b2370	2484374	2487967	EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS	evgS // b2370 // ECK2366	sensor histidine kinase EvgS	inner membrane // inner membrane (sensu Actinobacteria) // periplasmic space // cytosol
exbB	b3006	3151250	3151984	Ton complex subunit ExbB	exbB // b3006 // ECK2999	energy transducing Ton complex	outer membrane // inner membrane
exbD	b3005	3150818	3151243	Ton complex subunit ExbD	exbD // b3005 // ECK2998	energy transducing Ton complex	outer membrane // inner membrane
exoD	b0539	566098	566361	DLP12 prophage; putative exonuclease ExoD	exoD // ybcC // b0539 // ECK0531		cytosol
exoX	b1844	1926120	1926782	exonuclease X	exoX // yobC // b1844 // ECK1845		cytosol
exuR	b3094	3246652	3247428	DNA-binding transcriptional repressor ExuR	exuR // b3094 // ECK3085	ExuR-&alpha;-D-glucuronate // ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor	cytosol
exuT	b3093	3245224	3246522	hexuronate transporter	exuT // b3093 // ECK3084		inner membrane
eyeA	b4690	272580	272654	CP4-6 prophage; small RNA EyeA	eyeA // b4690 // ECK4506		
fabA	b0954	1015952	1016470	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	fabA // b0954 // ECK0945	&beta;-hydroxyacyl-acyl carrier protein dehydratase/isomerase	cytosol
fabB	b2323	2440385	2441605	3-oxoacyl-[acyl carrier protein] synthase 1	fabB // fabC // b2323 // ECK2317	3-oxoacyl-[acyl carrier protein] synthase 1	cytosol
fabD	b1092	1149728	1150657	[acyl-carrier-protein] <i>S</i>-malonyltransferase	fabD // tfpA // b1092 // ECK1078		cytosol
fabF	b1095	1151939	1153180	3-oxoacyl-[acyl carrier protein] synthase 2	fabF // vtr // cvc // fabJ // vtrB // b1095 // ECK1081	3-oxoacyl-[acyl carrier protein] synthase 2	cytosol
fabG	b1093	1150670	1151404	3-oxoacyl-[acyl-carrier-protein] reductase FabG	fabG // b1093 // ECK1079	3-oxoacyl-[acyl-carrier-protein] reductase FabG	cytosol
fabH	b1091	1148759	1149712	3-oxoacyl-[acyl carrier protein] synthase 3	fabH // b1091 // ECK1077	3-oxoacyl-[acyl carrier protein] synthase 3	cytosol
fabI	b1288	1350251	1351039	enoyl-[acyl-carrier-protein] reductase	fabI // envM // gts // qmeA // b1288 // ECK1283	enoyl-[acyl-carrier-protein] reductase	cytosol // membrane
fabR	b3963	4161067	4161771	DNA-binding transcriptional repressor FabR	fabR // yijC // b3963 // ECK3955		cytosol
fabY	b3888	4077449	4078438	putative fatty acid biosynthesis enzyme FabY	fabY // yiiD // b3888 // ECK3881		cytosol
fabZ	b0180	202101	202556	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	fabZ // sfhC21 // sabA1 // sefA // yaeA // b0180 // ECK0179	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	cytosol
fadA	b3845	4027609	4028772	3-ketoacyl-CoA thiolase	fadA // oldA // b3845 // ECK3837	aerobic fatty acid oxidation complex	cytosol
fadB	b3846	4028782	4030971	multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, &Delta;<sup>3</sup>-<i>cis</i>- &Delta;<sup>2</sup>-<i>trans</i>-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase	fadB // oldB // b3846 // ECK3838	aerobic fatty acid oxidation complex	
fadD	b1805	1888061	1889746	long-chain-fatty-acid&mdash;CoA ligase	fadD // oldD // b1805 // ECK1803	long-chain-fatty-acid&mdash;CoA ligase	inner membrane // cytosol
fadE	b0221	240859	243303	acyl-CoA dehydrogenase	fadE // yafH // b0221 // ECK0222		cytosol // inner membrane
fadH	b3081	3231665	3233683	2,4-dienoyl-CoA reductase	fadH // ygjL // b3081 // ECK3071		cytosol
fadI	b2342	2459159	2460469	3-ketoacyl-CoA thiolase FadI	fadI // yfcY // b2342 // ECK2336	anaerobic fatty acid &beta;-oxidation complex	cytosol
fadJ	b2341	2457015	2459159	multifunctional 3-hydroxyacyl-CoA dehydrogenase/3-hydroxyacyl-CoA epimerase/enoyl-CoA hydratase FadJ	fadJ // yfcX // b2341 // ECK2335	anaerobic fatty acid &beta;-oxidation complex	cytosol
fadK	b1701	1782977	1784677	short chain acyl-CoA synthetase	fadK // ydiD // b1701 // ECK1699		inner membrane // cytosol
fadL	b2344	2461306	2462646	long-chain fatty acid outer membrane channel / bacteriophage T2 receptor	fadL // ttr // b2344 // ECK2338		outer membrane
fadM	b0443	464402	464800	long-chain acyl-CoA thioesterase FadM	fadM // ybaW // tesC // b0443 // ECK0437		cytosol
fadR	b1187	1234938	1235657	DNA-binding transcriptional dual regulator FadR	fadR // dec // ole // oleR // thdB // b1187 // ECK1175	FadR-an acyl-CoA	cytosol
fau	b2912	3056241	3056789	putative 5-formyltetrahydrofolate cyclo-ligase	fau // ygfA // b2912 // ECK2907		
fbaA	b2925	3070165	3071244	fructose-bisphosphate aldolase class II	fbaA // ald // fba // fda // b2925 // ECK2921	fructose-bisphosphate aldolase class II	cytosol
fbaB	b2097	2177512	2178564	fructose-bisphosphate aldolase class I	fbaB // dhnA // b2097 // ECK2090	fructose-bisphosphate aldolase class I	cytosol // membrane
fbp	b4232	4454611	4455609	fructose-1,6-bisphosphatase 1	fbp // fdp // b4232 // ECK4227	fructose-1,6-bisphosphatase 1	cytosol
fcl	b2052	2126225	2127190	GDP-L-fucose synthase	fcl // wcaG // yefB // b2052 // ECK2046	GDP-L-fucose synthase	cytosol
fdhD	b3895	4086016	4086849	sulfurtransferase for molybdenum cofactor sulfuration	fdhD // b3895 // ECK3888	sulfurtransferase for molybdenum cofactor sulfuration	cytosol
fdhE	b3891	4080299	4081228	formate dehydrogenase formation protein	fdhE // b3891 // ECK3884	formate dehydrogenase formation protein	cytosol
fdhF	b4079	4297219	4299366	formate dehydrogenase H	fdhF // chlF // b4079 // ECK4072	formate hydrogenlyase complex	inner membrane // periplasmic space // cytosol
fdnG	b1474	1547401	1550448	formate dehydrogenase N subunit &alpha;	fdnG // b1474 // ECK1468	formate dehydrogenase N, subcomplex	periplasmic space // membrane
fdnH	b1475	1550461	1551345	formate dehydrogenase N subunit &beta;	fdnH // b1475 // ECK1469	formate dehydrogenase N, subcomplex	inner membrane
fdnI	b1476	1551338	1551991	formate dehydrogenase N subunit &gamma;	fdnI // b1476 // ECK1470	formate dehydrogenase N, subcomplex	inner membrane
fdoG	b3894	4082772	4085822	formate dehydrogenase O subunit &alpha;	fdoG // b3894 // ECK3887	formate dehydrogenase O	inner membrane // periplasmic space // cytosol
fdoH	b3893	4081857	4082759	formate dehydrogenase O subunit &beta;	fdoH // b3893 // ECK3886	formate dehydrogenase O	inner membrane
fdoI	b3892	4081225	4081860	formate dehydrogenase O subunit &gamma;	fdoI // b3892 // ECK3885	formate dehydrogenase O	inner membrane
fdrA	b0518	546680	548347	putative oxamate carbamoyltransferase FdrA	fdrA // ylbD // b0518 // ECK0511		cytosol // inner membrane
fdx	b2525	2656748	2657083	oxidized ferredoxin // reduced ferredoxin	fdx // b2525 // ECK2522		cytosol
